description,category,source_bank,transaction_type
IPY GOFOOD,makanan,Permata,debit
DB KAI ACCESS RIDE,transport,Danamon,debit
APY BPJS KETENAGAKERJAAN 818772,tagihan,BCA,debit
QRIS PMT CINEPOLIS SBY,hiburan,BCA,debit
TRSF E-BANKING DB KAI ACCESS,transport,Permata,debit
TRANSFER KAS RT IRA YUNITA,transfer_sosial,Danamon,transfer
DB FLAZZ TOPUP,transport,BCA,debit
DB EDC RS MITRA KELUARGA,kesehatan,BNI,debit
KIRIMAN BULANAN SUAMI GILANG RAMADHAN,transfer_keluarga,Permata,transfer
BIAYA HIDUP KELUARGA IRA YUNITA,transfer_keluarga,CIMB,transfer
QRIS PMT MRT JAKARTA MLG,transport,BNI,debit
TRF 6550740172 ,tidak_diketahui,Permata,transfer
DB GOJEK TIKET,transport,BNI,debit
SWITCHING DB BSI 0777361311,tidak_diketahui,BNI,transfer
BAYAR KLINIK APOTEK GUARDIAN MLG,kesehatan,BCA,debit
TRSF E-BANKING DB 5873058807,tidak_diketahui,Permata,transfer
TRSF E-BANKING DB 6801220524 LINA MARLINA,transfer_sosial,BSI,transfer
DB COURSERA,pendidikan,BCA,debit
PEMBAYARAN RAWAT RS MITRA ,kesehatan,BRI,debit
BAYAR TAGIHAN INDOSAT IM3,tagihan,BNI,debit
BYR VIA M-BANKING TAGIHAN KARTU KREDIT BCA,tagihan,BCA,debit
FOOD RICHEESE FACTORY DPK,makanan,Danamon,debit
IPY TOGA MAS,pendidikan,BNI,debit
VIS MATAHARI DEPT STORE,belanja,Mandiri,debit
RETAIL URBAN REPUBLIC  YK,belanja,Mandiri,debit
APY SMARTFREN 498138196899,tagihan,BCA,debit
TRF IURAN MUSHOLA TIKA RAHMADHANI,transfer_sosial,Mandiri,transfer
DB TRAVELOKA EATS ORDER,makanan,BSI,debit
TRSF E-BANKING DB LAZADA,belanja,Mandiri,debit
DEBIT EDC WARUNG KOPI TNG,makanan,BSI,debit
IURAN ARISAN BULANAN CAHYA PRATAMA,transfer_sosial,CIMB,transfer
db zenius education,pendidikan,BCA,debit
QRIS PMT ANYTIME FITNESS BDG,hiburan,BSI,debit
BELANJA SAMSUNG STORE BPN,belanja,BSI,debit
TRF IURAN RT OKI PRATAMA 6142216957,transfer_sosial,Danamon,transfer
IPY SPOTIFY PREMIUM,hiburan,BSI,debit
DB SHOPEEFOOD FOOD,makanan,BNI,debit
PRC METRO DEPT STORE MLG,belanja,BNI,debit
TRSF E-BANKING DB TRAVELOKA,transport,Danamon,debit
IPY AXIS 191830023713,tagihan,CIMB,debit
PYMNT TIKET.COM,transport,BCA,debit
PYMNT TIKET.COM,transport,CIMB,debit
NP LAWSON DPS,belanja,BRI,debit
QRIS PMT SHELL SPBU MDN,transport,Permata,debit
RETAIL PLANET SPORT ,belanja,BRI,debit
patungan ulang tahun arif hidayatullah,transfer_sosial,Danamon,transfer
TRANSFER KE QORI AMALIA NAFKAH BULAN,transfer_keluarga,BRI,transfer
BYR PARKIR 08262968,lainnya,Permata,debit
DB EDC AHASS HONDA,transport,CIMB,debit
DB EDC NEW ERA YK,belanja,Mandiri,debit
DB ZALORA PAYMENT,belanja,BCA,debit
PEMBAYARAN SHOPEEFOOD,makanan,CIMB,debit
NP ANYTIME FITNESS BKS,hiburan,BRI,debit
TOP UP ShopeePay VIA Permata,topup_ewallet,ShopeePay,ewallet
DEBIT EDC ALFAMART DPK,belanja,BRI,debit
PEMBAYARAN QRIS,makanan,CIMB,debit
TRSF E-BANKING DB TRAVELOKA EATS,makanan,BCA,debit
BYR BARBERSHOP 94031590,lainnya,BSI,debit
DB E-TOLL SOL,transport,Permata,debit
TRSF E-BANKING DB KURSUS MUSIK YAMAHA,pendidikan,BNI,debit
VIS HOKBENDPK,makanan,Mandiri,debit
PYMNT HALODOC,kesehatan,Permata,debit
EDC KLINIK KIMIA FARMA JKT,kesehatan,BRI,debit
TRF PATUNGAN KARTINI SARI,transfer_sosial,Permata,transfer
KONSULTASI SEHATQ,kesehatan,BCA,debit
QRIS PMT J.CO DONUTS SOL,makanan,BNI,debit
PYMNT GOJEK,transport,BCA,debit
TRSF E-BANKING DB TIKET.COM,transport,BRI,debit
PRC WATSONS DPS,belanja,BNI,debit
QRIS PMT BIOSKOP XXI BKS,hiburan,BRI,debit
TRSF E-BANKING DB GOFOOD,makanan,BCA,debit
IPY GRABHEALTH,kesehatan,BRI,debit
AUTODEBET SMARTFREN,tagihan,Permata,debit
DB TRF 7984247501,tidak_diketahui,Danamon,transfer
BYR VIA M-BANKING TAGIHAN INTERNET INDIHOME,tagihan,Mandiri,debit
BAYAR TAGIHAN TAGIHAN INTERNET INDIHOME,tagihan,CIMB,debit
RESTO STARBUCKS COFFEE SBY,makanan,BCA,debit
SWITCHING DB Mandiri 3674372970,tidak_diketahui,BNI,transfer
PYMNT MAXIM,transport,Mandiri,debit
PYMNT BPJS KETENAGAKERJAAN 395559117595,tagihan,BSI,debit
DB GRAB TIKET,transport,BRI,debit
TRSF E-BANKING DB SHOPEE,belanja,Danamon,debit
QRIS PMT ERAFONE BGR,belanja,CIMB,debit
IPY CICILAN KPR BRI 84639108 405,tagihan,BRI,debit
SWITCHING DBTOL MDN,transport,CIMB,debit
DB EDC CONVERSE STORE SBY,belanja,BNI,debit
QRIS PMT GUARDIAN TNG,belanja,BSI,debit
SWITCHING DB Danamon 1760585041 EKO PRASETYO,transfer_keluarga,DANA,ewallet
DB EDC MRT JAKARTA,transport,BRI,debit
QRIS PMT GIANT HYPERMARKET SBY,belanja,CIMB,debit
PATUNGAN KADOJOKO WIDODO,transfer_sosial,BNI,transfer
RETAIL WATSONS YK 343,belanja,Permata,debit
PYMNT CICILAN KPR BTN 2793844396,tagihan,Danamon,debit
PYMNT BLIBLI,belanja,BSI,debit
RETAIL INDOMARET PBR,belanja,Mandiri,debit
DB EDC JANJI JIWA BDG,makanan,CIMB,debit
KONDANGAN PERNIKAHAN NANDA WIJAYA,transfer_sosial,BSI,transfer
prc hypermart jkt,belanja,Permata,debit
TRSF DEBIT 07680276,tidak_diketahui,BNI,transfer
TRF BULANAN KE IRA YUN,transfer_keluarga,Danamon,transfer
PATUNGAN KADO GILANG RAMADHAN,transfer_sosial,Permata,transfer
BYR LES PRIVAT 025408,pendidikan,BSI,debit
BYR VIA M-BANKING PDAM KOTA,tagihan,Danamon,debit
TOPUP SHOPEEPAY 264371542869,topup_ewallet,ShopeePay,ewallet
QRIS PMT LABORATORIUM CITO TNG,kesehatan,BNI,debit
RESTO J.CO DONUTS BGR,makanan,BNI,debit
VIS MIXUE SBY,makanan,Mandiri,debit
GRABFOOD ORDER,makanan,Danamon,debit
DB TAGIHAN KARTU KREDIT MANDIRI,tagihan,Mandiri,debit
DB RUMAH MAKAN PADANG PLB,makanan,CIMB,debit
DB PDAM KOTA,tagihan,BNI,debit
DB BLIBLI PAYMENT,belanja,BRI,debit
TRF BULANAN KE HENDRA GUNAWAN,transfer_keluarga,Mandiri,transfer
SA IB PRIMA Dr Trf 3993069866 GUNAWAN WIBOWO,transfer_keluarga,BCA,transfer
DEBIT EDC KURSUS LIA LANGUAGE YK,pendidikan,BSI,debit
SWITCHING DB BCA 1554446477 ZAHRA NURLAILA,transfer_sosial,BCA,transfer
BAYAR  TAGIHAN FIRSTMEDIA,tagihan,Danamon,debit
DEBIT EDC KURSUS MUSIK YAMAHA BDG,pendidikan,Mandiri,debit
TRSF E-BANKING DB RUANGGURU,pendidikan,CIMB,debit
TRANSFER KAS RT LINA MARLINA,transfer_sosial,BSI,transfer
NP ERAFONE BGR,belanja,BRI,debit
PRC SUSHI TEI LPG,makanan,Permata,debit
BARBERSHOP 1968952614,lainnya,Danamon,debit
VIS NASI UDUK BETAWIPLB,makanan,Mandiri,debit
DB SHOPEEFOOD FOOD,makanan,Mandiri,debit
DB EDC YAMAHA SERVICE,transport,BSI,debit
DB YOUTUBE PREMIUM,hiburan,Permata,debit
DB KLIKDOKTER,kesehatan,Permata,debit
DEBIT EDC TRANSMART  SBY,belanja,BSI,debit
DB EDC FORE COFFEE BGR,makanan,Mandiri,debit
BYR IURAN BULANAN RT 409863967151,tagihan,Danamon,debit
CONVERSE STORE SMG,belanja,BRI,debit
INFAQ JUMAT 225390,transfer_sosial,CIMB,transfer
DB EDC PUSKESMAS,kesehatan,Permata,debit
TRF 7211562525 CIMB,tidak_diketahui,BNI,transfer
TRSF E-BANKING DB NETFLIX.COM,hiburan,BRI,debit
QRIS PMT KURSUS LIA LANGUAGE,pendidikan,Permata,debit
DB FLAZZ TOPUP,transport,BNI,debit
DB EDC RS PONDOK INDAH,kesehatan,BSI,debit
DB TRAVELOKA RIDE,transport,BSI,debit
DB HALODOC,kesehatan,Permata,debit
RETAIL GUARDIAN BTM,belanja,Mandiri,debit
BYR TAGIHAN CICILAN FIF MOTOR,tagihan,Mandiri,debit
TELKOMSEL KARTU AS,tagihan,BRI,debit
TRSF NAFKAH MEGA PUSPITA BULANAN,transfer_keluarga,BSI,transfer
APY YAMAHA SERVICE,transport,BCA,debit
TRSF E-BANKING DB BIMBEL GANESHA OPERATION,pendidikan,BSI,debit
DEBIT EDC DUFAN SMG,hiburan,BRI,debit
SWITCHING  DB BNI 1533144957 PANDU ADITYA,transfer_sosial,BSI,transfer
DEBIT EDC UKT SEMESTER GENAP BDG,pendidikan,BSI,debit
IPY IURAN IPL APARTEMEN 20623782,tagihan,Permata,debit
TRF PATUNGAN NANDA WIJAYA 763,transfer_sosial,CIMB,transfer
FOOD WARUNG PADANG SEDERHANA BPN,makanan,BCA,debit
QRIS PMT MATAHARI DEPT STORE BPN,belanja,BRI,debit
PYMNT MAXIM,transport,Danamon,debit
IPY TOKOPEDIA,belanja,Mandiri,debit
PYMNT SHOPEEFOOD,makanan,BCA,debit
AUTODEBET TAGIHAN LISTRIK PLN 495,tagihan,Permata,debit
KIRIM KONDANGAN VINA OKTAVIA,transfer_sosial,BNI,transfer
DB MAXIM RIDE,transport,Danamon,debit
DEBIT EDC KAFE KITA DPK,makanan,Permata,debit
RETAIL GUARDIAN PLB,belanja,BNI,debit
DB EDC  AHASS HONDA,transport,Permata,debit
BAYAR KLINIK FISIOTERAPI KLINIK JKT,kesehatan,Permata,debit
PATUNGAN KADO YANTI PERMATA,transfer_sosial,Permata,transfer
TRF ARISAN WATI SUSANTI 634925,transfer_sosial,BRI,transfer
PEMBAYARAN BUKALAPAK ORDER,belanja,Danamon,debit
QRIS PMT RUMAH SAKIT UMUM LPG,kesehatan,BRI,debit
VIS COTTON INK,belanja,Mandiri,debit
BAYAR TAGIHAN XL AXIATA,tagihan,Permata,debit
BYR VIA M-BANKING CICILAN K,tagihan,Danamon,debit
IPY SPP SMA,pendidikan,BCA,debit
TRSF E-BANKING DB MAXIM,transport,CIMB,debit
DEBIT EDC ASTRA OTOPARTS BPN,transport,BRI,debit
BYR TAGIHAN CICILAN KPR BTN,tagihan,Danamon,debit
PEMBAYARAN RAWAT LABORATORIUM PRAMITA,kesehatan,BCA,debit
PYMNT TRAVELOKA,transport,BRI,debit
DB EDC RS PREMIER JATINEGARA,kesehatan,Danamon,debit
TRSF E-BANKING DB 6795575482 KIRIMAN VERA ANGGRAINI,transfer_keluarga,BNI,transfer
TRANSFER KE  GOPAY 5116086585,topup_ewallet,GoPay,ewallet
TRSF DEBIT 12892410,tidak_diketahui,CIMB,transfer
BYR LES PRIVAT 65226032,pendidikan,BCA,debit
BYR DONASI PMI 65113689,lainnya,BSI,debit
QRIS PMT YAMAHA SERVICE MKS,transport,Mandiri,debit
TRF ORANG TUA FAJAR SIDIQ 1681048314,transfer_keluarga,Mandiri,transfer
PRC SUSHI TEI PBR,makanan,BRI,debit
TRSF DEBIT 84069320,tidak_diketahui,Mandiri,transfer
TRSF E-BANKING DB TRAVELOKA EATS 698,makanan,CIMB,debit
DB UDEMY LEARNING,pendidikan,BRI,debit
QRIS PMT BIMBEL PRIMAGAMA,pendidikan,Permata,debit
TRSF E-BANKING DB YOUTUBE PREMIUM,hiburan,BSI,debit
APY IURAN BPJS 659982,tagihan,BCA,debit
QRIS PMT KFC SMG,makanan,Mandiri,debit
EDC PLANET SPORT BGR,belanja,BNI,debit
TRF ORANG TUA ARIF HIDAYATULLAH 6792734688 649,transfer_keluarga,BSI,transfer
PYMNT MAXIM,transport,BSI,debit
PEMBAYARAN RAWAT RS SILOAM,kesehatan,BSI,debit
TRF 2173440508 Permata,tidak_diketahui,BCA,transfer
BAYAR TAGIHAN PLN PASCABAYAR,tagihan,Danamon,debit
IPY RUANGGURU,pendidikan,Danamon,debit
APY PLN PREPAID 969840 388,tagihan,BCA,debit
NP NEW ERA PBR,belanja,BRI,debit
DB MARUGAME UDON MDN,makanan,BCA,debit
DB TRF 5613757212,tidak_diketahui,BSI,transfer
PYMNT  SHOPEEFOOD,makanan,BNI,debit
QRIS PMT BIAYA KULIAH SWASTA,pendidikan,BCA,debit
DEBIT EDC APOTEK KIMIA FARMA JKT,kesehatan,BNI,debit
PEMBAYARAN BPJSTK 085605,tagihan,Danamon,debit
BIAYA HIDUP KELUARGA BAYU NUGROHO,transfer_keluarga,Mandiri,transfer
NP APOTEK 24 JAM YK,kesehatan,BRI,debit
PRC MIE RAMEN DPS,makanan,BRI,debit
DB GRABFOOD FOOD,makanan,CIMB,debit
BYR UKT  SEMESTER GENAP 2397591968,pendidikan,BNI,debit
BYR SMARTFREN 352413136712,tagihan,CIMB,debit
QRIS PMT TRANS STUDIO B,hiburan,BSI,debit
DB PLN PASCABAYAR,tagihan,CIMB,debit
TRSF E-BANKING DB CODASHOP,hiburan,BRI,debit
DB E-TOLL BTM,transport,Permata,debit
PEMBAYARAN GRABFOOD,makanan,BNI,debit
TRSF NAFKAH KURNIA SARI BULANAN,transfer_keluarga,Danamon,transfer
BYR SPP SEKOLAH DASAR 125624,pendidikan,Mandiri,debit
BIAYA BEROBAT APOTEK GUARDIAN,kesehatan,Mandiri,debit
DB STEAM PURCHASE,hiburan,BNI,debit
VIS DAISO,belanja,Mandiri,debit
SWITCHING DB TOPUP OVO,topup_ewallet,OVO,ewallet
SWITCHING DB TOPUP OVO,topup_ewallet,OVO,ewallet
DEBIT EDC ASTRA OTOPARTS CRB,transport,BSI,debit
biaya berobat laboratorium cito,kesehatan,BNI,debit
QRIS PMT BP SPBU YK,transport,BRI,debit
PYMNT APPLE MUSIC,hiburan,BNI,debit
DB TRAVELOKA TIKET,transport,Permata,debit
PYMNT ZALORA,belanja,BCA,debit
DB GOFOOD FOOD,makanan,BSI,debit
BAYAR TAGIHAN FIRSTMEDIA,tagihan,Mandiri,debit
belanja matahari dept store yk,belanja,BRI,debit
TRF PATUNGAN DEWI LESTARI,transfer_sosial,CIMB,transfer
NP NAV KARAOKE MDN,hiburan,BRI,debit
DB CICILAN ADIRA FINANCE,tagihan,Danamon,debit
PYMNT TIKTOK SHOP,belanja,CIMB,debit
TOPUP SHOPEEPAY 85319491,topup_ewallet,ShopeePay,ewallet
BYR BIMBEL NEUTRON 0624582664,pendidikan,Danamon,debit
TRANSFER KE GOPAY 595228,topup_ewallet,GoPay,ewallet
DB MAXIM TIKET,transport,Permata,debit
KIRIM NAFKAH HADI SUSANTO,transfer_keluarga,BSI,transfer
AUTODEBET AXIS,tagihan,BSI,debit
IPY BIAYA WISUDA,pendidikan,CIMB,debit
PEMBAYARAN ZALORA ORDER,belanja,Danamon,debit
DB EDCAMAZONE,hiburan,BSI,debit
PRC LAWSON CRB,belanja,BSI,debit
TRF 609514 Danamon,tidak_diketahui,DANA,ewallet
TRANSFER IURAN ARISAN YUSUF RAHMAN,transfer_sosial,BSI,transfer
PYMNT TRAVELOKA,transport,Danamon,debit
SWITCHING DB TOL DPK,transport,CIMB,debit
BYR TAGIHAN PLN PREPAID,tagihan,Danamon,debit
DB EDC ANYTIME FITNESS,hiburan,Mandiri,debit
TRANSFER KE MEGA PUSPITA NAFKAH BULANAN,transfer_keluarga,Danamon,transfer
QRIS PMT PARKIR BTM,transport,BRI,debit
DB YOUTUBE PREMIUM,hiburan,BSI,debit
PYMNT GOOGLE PLAY GAMES,hiburan,BNI,debit
DB TOP UP EWALLET ShopeePay,topup_ewallet,ShopeePay,ewallet
SA IB PRIMA Dr Trf 1812350774 CAHYA PRATAMA,transfer_keluarga,BCA,transfer
OVERBOOKING Mandiri INTERNAL,transfer_internal,Mandiri,transfer
IPY GRAMEDIA BOOKSTORE,pendidikan,Mandiri,debit
TRF 8517492140 BNI,tidak_diketahui,BRI,transfer
TRANSFER KE UTAMI DEWI NAFKAH BULANAN,transfer_keluarga,Mandiri,transfer
SWITCHING DB Danamon 8018572302,tidak_diketahui,DANA,ewallet
QRIS PMT LAUNDR,lainnya,BNI,debit
DEBIT EDC TOGA MAS BGR,pendidikan,BCA,debit
TRF KE AHMAD FAUZI PATUNGAN WISATA,transfer_sosial,BSI,transfer
TRANSFER KAS RT CITRA DEWI,transfer_sosial,BNI,transfer
IPY LINKEDIN LEARNING,pendidikan,BRI,debit
pbk giro ke tabungan 4351829141,transfer_internal,Mandiri,transfer
TRF IURAN MUSHOLA WATI SUSANTI,transfer_sosial,CIMB,transfer
DB TIKTOK SHOP BELANJA,belanja,CIMB,debit
PYMNT 3 INDONESIA 503364434710,tagihan,CIMB,debit
IPY KLIKDOKTER,kesehatan,BSI,debit
NP SERVICE AC JKT,lainnya,BRI,debit
RETAIL URBAN REPUBLIC MKS,belanja,BNI,debit
PATUNGAN KADO LESTARI NINGRUM,transfer_sosial,Mandiri,transfer
PATUNGAN KADO PUTRI MAHARANI,transfer_sosial,Permata,transfer
IPY TIKET.COM,transport,BNI,debit
TRSF DEBIT 78375086,tidak_diketahui,BNI,transfer
BELANJA DAISOCRB,belanja,BCA,debit
TRSF E-BANKING DB KURSUS LIA LANGUAGE,pendidikan,Mandiri,debit
TRSF E-BANKING DB SPP SMP,pendidikan,BNI,debit
SWITCHING DB APPLE M,hiburan,Permata,debit
NP RAMAYANA SMG,belanja,BRI,debit
SA OB CA TABUNGAN KE DEPOSITO,transfer_internal,Mandiri,transfer
PEMBAYARAN TRAVELOKA EATS,makanan,Permata,debit
DB GRAB RIDE,transport,BRI,debit
DB EDC HAPPY PUPPY KTV,hiburan,Permata,debit
BYR KURSUS KOMPUTER 413240904748,pendidikan,BRI,debit
PYMNT SHOPEEFOOD 217,makanan,BCA,debit
RESTO KANTIN KAMPUS BKS,makanan,BSI,debit
TOPUP SHOPEEPAY 8599396675,topup_ewallet,ShopeePay,ewallet
DEBIT EDCAPOTEK K24 MLG,kesehatan,Danamon,debit
DB TIKET.COM TIKET,transport,BCA,debit
QRIS PMT KLINIK KIMIA FARMA LPG,kesehatan,BCA,debit
ipy gofood,makanan,Danamon,debit
IPY MAXIM,transport,CIMB,debit
DEBIT EDC KURSUS LIA  LANGUAGE DPS,pendidikan,Permata,debit
SWITCHING DB BPJSKETENAGAKERJAAN,tagihan,BNI,debit
DB EDC BP SPBU,transport,Permata,debit
QRIS PMT BIMBEL ONLINE,pendidikan,Danamon,debit
PEMBAYARAN BLIBLI ORDER,belanja,BCA,debit
PEMBAYARAN IURAN BPJS 943021153,tagihan,Permata,debit
DB E-TOLLMLG,transport,BRI,debit
TRF BULANAN KE YANTI PERMATA,transfer_keluarga,Permata,transfer
PEMBAYARAN TAGIHAN KARTU KREDIT BCA 165390,tagihan,BNI,debit
DB GRABFOOD ORDER,makanan,BNI,debit
DB TRAVELOKA TIKET,transport,CIMB,debit
TRSF E-BANKING DB SEDEKAH,lainnya,Danamon,debit
BAYAR TAGIHAN CICILAN KPR BRI,tagihan,CIMB,debit
PYMNT GRABHEALTH,kesehatan,Mandiri,debit
PYMNT TRAVELOKA EATS,makanan,BCA,debit
qris pmt barbershop tng,lainnya,BNI,debit
PYMNT DISNEY+ HOTSTAR,hiburan,BRI,debit
PEMBAYARAN PGN GAS RUMAH 636470204426,tagihan,BRI,debit
DEBIT EDC TOGA MAS BPN,pendidikan,Mandiri,debit
DB KAI ACCESS TIKET,transport,BNI,debit
TRSF E-BANKING DB 3996228206 UTAMI DEWI,transfer_sosial,BSI,transfer
TRSF E-BANKING DB DONASI PMI,lainnya,CIMB,debit
SWITCHING DB BRI 7150983195 LINA MARLINA,transfer_sosial,BSI,transfer
PEMBAYARAN RAWAT RS MEDISTRA,kesehatan,BRI,debit
DB EDC RS SILOAM,kesehatan,BRI,debit
BYR SERVICE AC 20708278,lainnya,BRI,debit
DEBIT EDC UANG PANGKAL SEKOLAH DPS,pendidikan,Danamon,debit
QRIS PMT UKT SEMESTER GANJIL,pendidikan,CIMB,debit
TRSF E-BANKING DB CICILAN FIF MOTOR,tagihan,Danamon,debit
PYMNT GRABFOOD,makanan,Danamon,debit
DB MIE AYAM JAKARTA DPS,makanan,BSI,debit
SA IB PRIMA Dr Trf 3825718822,tidak_diketahui,BCA,transfer
DB SUNATAN 631,lainnya,BSI,debit
TRF IURAN MUSHOLA FAJAR SIDIQ,transfer_sosial,BRI,transfer
byr kursus komputer 965341,pendidikan,Danamon,debit
ipy klikdokter,kesehatan,CIMB,debit
DB EDC ALFAMART BGR,belanja,CIMB,debit
TOP UP LINKAJA 00206621,topup_ewallet,LinkAja,ewallet
PYMNT TRAVELOKA,transport,BCA,debit
DEBIT EDC MRT JAKARTA SOL,transport,BRI,debit
PYMNT ALODOKTER,kesehatan,BNI,debit
DB NOTARIS PPAT,lainnya,BRI,debit
DEBIT EDC ANYTIME FITNESSMDN,hiburan,BCA,debit
IPY BPJSTK 038918,tagihan,Mandiri,debit
IPY RUANGGURU,pendidikan,CIMB,debit
DB KAI ACCESS RIDE,transport,BCA,debit
TRSF E-BANKING DB TRI HUTCHISON,tagihan,Permata,debit
BELANJA STRADIVARIUS BKS,belanja,BNI,debit
DEBIT EDC NAV KARAOKE BDG,hiburan,Permata,debit
AUTODEBET TAGIHAN KARTU KREDIT BCA,tagihan,Permata,debit
TRSF E-BANKING DB INDOSAT IM3,tagihan,BRI,debit
TRSF E-BANKING DB ZAKAT INFAQ,lainnya,Mandiri,debit
TRSF E-BANKING DB 7492643746 KIRIMAN MULYADI,transfer_keluarga,BNI,transfer
PEMBAYARAN RAWAT RS MEDISTRA,kesehatan,Mandiri,debit
TRF KE OLIVIA SINAGA PATUNGAN WISATA,transfer_sosial,Permata,transfer
DB GOFOOD FOOD,makanan,BRI,debit
BYR ZAKAT INFAQ 540105865516,lainnya,BCA,debit
BYR VIA M-BANKING FIRSTMEDIA,tagihan,Danamon,debit
TRSF E-BANKING DB SEHATQ,kesehatan,CIMB,debit
TRSF E-BANKING DB GRABFOOD,makanan,Danamon,debit
RESTO GULU GULU MDN,makanan,Permata,debit
DB EDC LABORATORIUMPRODIA,kesehatan,BRI,debit
PYMNT IURAN BPJS 8571463567,tagihan,Danamon,debit
RESTO PEPPER LUNCH JKT,makanan,Mandiri,debit
BYR TAGIHAN XL PRABAYAR,tagihan,Mandiri,debit
byr via m-banking cicilan kpr bri,tagihan,Danamon,debit
IPY INDIHOME TELKOM 7542909208,tagihan,Permata,debit
SWITCHING DB STEAM PURCHASE,hiburan,Mandiri,debit
TOP UP OVO VIA BCA,topup_ewallet,OVO,ewallet
DB EDC TRANSJAKARTA,transport,BSI,debit
RETAIL OPTIK SEIS CRB,belanja,Permata,debit
BYR TAGIHAN BPJS KETENAGAKERJAAN,tagihan,BSI,debit
TRSF DEBIT 7179,tidak_diketahui,BSI,transfer
DEBIT EDC ZARA BTM,belanja,BRI,debit
DB LAUNDRY,lainnya,BCA,debit
BAYAR KLINIK RS PREMIER JATINEGARA SBY,kesehatan,Danamon,debit
DEBIT EDC NASI UDUK BETAWI JKT,makanan,Danamon,debit
PYMNT GOOGLE PLAY GAMES,hiburan,BRI,debit
DB EDC CINEPOLIS,hiburan,CIMB,debit
SA IB PRIMA Dr Trf 6420894750 LESTARI NINGRUM,transfer_keluarga,BCA,transfer
QRIS PMT NAV KARAOKE PBR 674,hiburan,BNI,debit
PEMBAYARAN SHOPEEFOOD,makanan,Permata,debit
debit edc apotek k24 bgr,kesehatan,Mandiri,debit
SWITCHING DB 3 INDONESIA,tagihan,Permata,debit
NP FISIOTERAPI KLINIK BGR,kesehatan,BRI,debit
PEMBAYARAN RAWAT FISIOTERAPI KLINIK,kesehatan,BRI,debit
DEBIT EDC TIMEZONE DPK,hiburan,Danamon,debit
SA IB PRIMA Dr Trf 7811328569,tidak_diketahui,BCA,transfer
BYR CICILAN FIF MOTOR,tagihan,BNI,debit
SWITCHING DB BSI 0230766270 WATI SUSANTI,transfer_sosial,BSI,transfer
EDC BIMBEL PRIMAGAMA BKS,pendidikan,Danamon,debit
BIAYA BEROBAT PUSKESMAS,kesehatan,Mandiri,debit
TRF 484719 Danamon,tidak_diketahui,DANA,ewallet
QRIS PMT GRAMEDIA BOOKSTORE,pendidikan,Mandiri,debit
DB GOJEK TIKET,transport,Danamon,debit
TOP UP LINKAJA 51096163,topup_ewallet,LinkAja,ewallet
QRIS PMT RS SILOAM CRB,kesehatan,Danamon,debit
TRSF E-BANKING DB BIAYA UJIAN NASIONAL,pendidikan,BNI,debit
NP WATERBOM LPG,hiburan,BRI,debit
TRF KE DANA 43198257,topup_ewallet,DANA,ewallet
PYMNT GRAB,transport,Permata,debit
QRIS PMT BIMBEL NEUTRON,pendidikan,BNI,debit
BYR VIA M-BANKING TAGIHAN BPJS KESEHATAN,tagihan,BNI,debit
TRSF E-BANKING DB SHOPEEFOOD,makanan,CIMB,debit
PATUNGAN ULANG TAHUN PANDU ADITYA,transfer_sosial,Permata,transfer
SWITCHING DB CIMB 6673394222,tidak_diketahui,BNI,transfer
PYMNT CODASHOP,hiburan,Permata,debit
BYR CUCI MOBIL 695814,lainnya,BCA,debit
TRSF E-BANKING DB ALODOKTER,kesehatan,BRI,debit
PYMNT GOOGLE PLAY GAMES,hiburan,BRI,debit
TRSF E-BANKING DB BIAYA WISUDA,pendidikan,Mandiri,debit
PYMNT TOKOPEDIA,belanja,CIMB,debit
PEMBAYARAN SHOPEEFOOD,makanan,BCA,debit
TRSF E-BANKING DB KLIKDOKTER,kesehatan,BNI,debit
SWITCHING DB VIDIO PREMIER,hiburan,Danamon,debit
KIRIM UANG ISTRI  OLIVIA SINAGA,transfer_keluarga,BRI,transfer
QRIS PMT BARBERSHOP DPS,lainnya,BRI,debit
BYR KURSUS MUSIK YAMAHA 38888761,pendidikan,Mandiri,debit
PYMNT TOKOPEDIA,belanja,Permata,debit
BIAYA HIDUP KELUARGA OKI PRATAMA,transfer_keluarga,BRI,transfer
PYMNT SHOPEEFOOD,makanan,Mandiri,debit
TRANSFER ANAK KOS I,transfer_keluarga,BCA,transfer
PEMBAYARAN TRAVELOKA EATS,makanan,BNI,debit
BYR VIA M-BANKING TAGIHAN KARTU KREDIT MANDIRI,tagihan,Permata,debit
APY CICILAN ADIRA FINANCE 48793872,tagihan,BCA,debit
QRIS PMT IBOX APPLE JKT,belanja,BNI,debit
PEMBAYARAN GOFOOD,makanan,Permata,debit
DEBIT EDC RS PONDOK INDAH PBR,kesehatan,CIMB,debit
DB A&W RESTAURANT BDG,makanan,CIMB,debit
DB FLAZZ TOPUP,transport,CIMB,debit
DB GRABFOOD ORDER,makanan,BCA,debit
BYR TOGA MAS 509239646440,pendidikan,Permata,debit
VIS BAKMI GM YK,makanan,Mandiri,debit
BYR TAGIHAN CICILAN KENDARAAN 702,tagihan,Danamon,debit
MAKAN PEPPER LUNCH YK,makanan,Danamon,debit
BAYAR KLINIK RS PONDOK INDAH PBR,kesehatan,BRI,debit
BELANJA NIKE STORE BKS,belanja,BCA,debit
PYMNT INDOSAT IM3 658798806481,tagihan,BSI,debit
IPY BIMBELNEUTRON,pendidikan,Mandiri,debit
